global_id,name,object_type,type_name,type_predefined_type,occurrence_predefined_type,materials,current_status,current_load_bearing,candidate_status,basis,confidence,review_required,visible_in_wall_plan,min_x_mm,min_y_mm,min_z_mm,max_x_mm,max_y_mm,max_z_mm,size_x_mm,size_y_mm,size_z_mm,source_ifc_sha256
3gksf1Sxz5TRfXh5l$12xr,Wall,,BWW02,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,200.000000,-6050.000000,0.012377,3000.000000,-5200.000000,1070.000000,2800.000000,850.000000,1069.987623,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3hKNxGFpT1NPjsqhFgHhOQ,Wall,,BWW03,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-1900.000000,3200.000000,-0.000536,-650.000000,4050.020386,680.000000,1250.000000,850.020386,680.000536,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3jha5L04zBjh0$pMl_tHLy,Wall,,WAL170,PARTITIONING,,Unknown,NEW,,CONFIRMED_NEW,IFC Pset_WallCommon.Status=NEW,1.0,no,True,-6500.000000,-1200.000000,0.000000,-6020.000000,-1030.000000,2480.000000,480.000000,170.000000,2480.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3kCjg_sZ1EF85Nip_y67gy,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-4700.000000,3200.000000,0.014455,-1900.000000,4049.982300,650.000000,2800.000000,849.982300,649.985545,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3pAfMJYxPBlwR30CstZ4kK,Cube,,,,MOVABLE,WhiteWall,NEW,,CONFIRMED_NEW,IFC Pset_WallCommon.Status=NEW,1.0,no,True,0.000000,-3848.000000,0.000000,1360.000000,-3698.000000,2400.000000,1360.000000,150.000000,2400.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3pq6QdkHHDZR3RR1nYivCC,Wall,,WAL200,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,200.000000,-6000.000000,1070.000000,3000.000000,-5800.000000,2470.000000,2800.000000,200.000000,1400.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3q92bI3TT78eG2hJbura4B,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-5250.000000,2600.000000,580.000000,-5050.000000,2800.000000,2480.000000,200.000000,200.000000,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3qz3zPw_r7nf0mYn_Jv805,Wall,,WAL200S,SOLIDWALL,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-400.000000,-4600.000000,550.000000,-200.000000,-4400.000000,2450.000000,200.000000,200.000000,1900.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3s$BGbHSj8hxQSeUdUDGfx,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-6750.000000,-5249.982300,447.000000,-6500.000000,-4999.982101,647.000000,250.000000,250.000199,200.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3tvnsnioX7PQZ7u8kENvQd,Wall,,BWW01,PARAPET,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-4950.000000,3800.000000,450.000000,-4699.999048,4049.982300,650.000000,250.000952,249.982300,200.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3ty1lUpQfD3fY1yf0Dxo53,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,-6700.000000,0.000000,0.000000,-6500.000000,2600.000000,3000.000000,200.000000,2600.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3uxUxvIOTAHOul$htmNuGA,Wall,,WAL100,PARTITIONING,,Aircrete,EXISTING,False,CONFIRMED_EXISTING_NON_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=false; user-confirmed orange group,1.0,no,True,-3001.000000,3.000000,0.000000,-1800.000000,103.000000,2600.000000,1201.000000,100.000000,2600.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
3wW32FPxv45Ac3yhuS2W5U,Wall,,WAL200B,SHEAR,,Concrete,EXISTING,True,CONFIRMED_EXISTING_LOAD_BEARING,IFC Pset_WallCommon.Status=EXISTING and LoadBearing=true; user-confirmed blue-gray group,1.0,no,True,6500.000000,600.000000,0.000000,6700.000000,3200.000000,3000.000000,200.000000,2600.000000,3000.000000,7a5537da3e356ba167e68a41ef6ca8fc01e9c637af42d9ef26a7cd54c35a1e7e
